Description,Class
Water Supply - Laboratory Q2,Water
Fuel Oil Delivery - Drying Ovens Q4,Heating
Refuse Collection - Pallet Disposal Container Emptying,Waste Disposal
Scrap Metal Hauling - General Refuse Bi-Weekly Pickup,Waste Disposal
Water Supply - Production Site Q2,Water
Hazardous Waste Pickup - General Refuse Q1,Waste Disposal
Utility Water Bill - Admin Block Annual Fee,Water
Fuel Oil Delivery - Drying Ovens Gas Meter Reading,Heating
Propane Purchase - Office Building 2 October,Heating
Grid Charge - North Warehouse (Q3),Electricity
Power Consumption - Corporate Office (Quarterly),Electricity
Electricity Supply - Corporate Office (Semi-Annual),Electricity
Chemical Waste Removal - Pallet Disposal Container Emptying,Waste Disposal
Power Consumption - Production Line 3 (Q1),Electricity
Electricity Supply - Data Center (January),Electricity
Electrical Service - Data Center (Year-End),Electricity
Scrap Metal Hauling - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Propane Purchase - Chemical Storage February,Heating
Gas Consumption - Chemical Storage Monthly,Heating
Fuel Oil Delivery - Office Building 2 Winter Season,Heating
Utility Water Bill - Production Site Q3,Water
Electricity Supply - North Warehouse (Q3),Electricity
Waste Disposal - Pallet Disposal Container Emptying,Waste Disposal
Grid Charge - Data Center (Q1),Electricity
Hazardous Waste Pickup - Industrial Debris Container Emptying,Waste Disposal
Water Charges - Admin Block July,Water
Electrical Service - Production Line 3 (December),Electricity
Waste Disposal - Industrial Debris Weekly Service,Waste Disposal
Municipal Water - Production Site Q2,Water
Municipal Water - Irrigation System April,Water
Fuel Oil Delivery - Boiler Room Gas Meter Reading,Heating
Natural Gas Supply - Warehouse February,Heating
Grid Charge - Corporate Office (Q1),Electricity
Refuse Collection - Solvent Waste Q1,Waste Disposal
Waste Disposal - Recyclable Materials Monthly Fee,Waste Disposal
Kwh Usage - North Warehouse (December),Electricity
Kwh Usage - Corporate Office (January),Electricity
Refuse Collection - Recyclable Materials Q1,Waste Disposal
Power Consumption - Corporate Office (Monthly),Electricity
Chemical Waste Removal - General Refuse Weekly Service,Waste Disposal
Kwh Usage - R&D Lab (Quarterly),Electricity
Hazardous Waste Pickup - Recyclable Materials Q1,Waste Disposal
Heating Service - Boiler Room October,Heating
Chemical Waste Removal - General Refuse Container Emptying,Waste Disposal
Heating Service - Warehouse Q4,Heating
Heating Service - Chemical Storage Q4,Heating
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Gas Consumption - Drying Ovens Winter Season,Heating
Scrap Metal Hauling - Recyclable Materials Weekly Service,Waste Disposal
H2O Billing - Laboratory April,Water
Propane Purchase - Office Building 2 February,Heating
Utility Water Bill - Admin Block Monthly Invoice,Water
Kwh Usage - Packaging Facility (December),Electricity
H2O Billing - Admin Block Q3,Water
Power Consumption - Main Plant (Quarterly),Electricity
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
H2O Billing - Production Site April,Water
Chemical Waste Removal - Solvent Waste Container Emptying,Waste Disposal
Municipal Water - Production Site July,Water
Power Consumption - R&D Lab (Semi-Annual),Electricity
Waste Disposal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - Recyclable Materials Container Emptying,Waste Disposal
Refuse Collection - Pallet Disposal Monthly Fee,Waste Disposal
Propane Purchase - Office Building 2 Gas Meter Reading,Heating
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Natural Gas Supply - Office Building 2 Peak Demand,Heating
Natural Gas Supply - Office Building 2 Winter Season,Heating
Power Consumption - Corporate Office (Semi-Annual),Electricity
Electrical Service - Data Center (January),Electricity
Municipal Water - Cooling Tower Q3,Water
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Propane Purchase - Boiler Room Winter Season,Heating
Kwh Usage - Data Center (Semi-Annual),Electricity
Grid Charge - North Warehouse (January),Electricity
Hazardous Waste Pickup - Solvent Waste Container Emptying,Waste Disposal
Water Charges - Production Site Monthly Invoice,Water
Waste Disposal - Pallet Disposal Monthly Fee,Waste Disposal
Power Consumption - Corporate Office (Q1),Electricity
Hazardous Waste Pickup - Pallet Disposal Weekly Service,Waste Disposal
Grid Charge - Data Center (Semi-Annual),Electricity
Utility Water Bill - Production Site July,Water
Heating Service - Office Building 2 Peak Demand,Heating
Utility Water Bill - Production Site Q3,Water
Waste Disposal - Industrial Debris Monthly Fee,Waste Disposal
Kwh Usage - R&D Lab (Year-End),Electricity
Scrap Metal Hauling - Pallet Disposal Monthly Fee,Waste Disposal
Waste Disposal - General Refuse Container Emptying,Waste Disposal
Gas Consumption - Drying Ovens Peak Demand,Heating
H2O Billing - Laboratory Meter Reading,Water
Grid Charge - North Warehouse (Q3),Electricity
Water Supply - Fire Sprinklers Q2,Water
Heating Service - Chemical Storage Q4,Heating
Electricity Supply - R&D Lab (December),Electricity
Water Charges - Production Site Monthly Invoice,Water
Power Consumption - Corporate Office (Quarterly),Electricity
Grid Charge - Production Line 3 (December),Electricity
Chemical Waste Removal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
H2O Billing - Production Site July,Water
Gas Consumption - Chemical Storage February,Heating
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - Recyclable Materials Q1,Waste Disposal
Refuse Collection - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Electrical Service - Data Center (Q1),Electricity
Electricity Supply - Corporate Office (December),Electricity
Municipal Water - Irrigation System Meter Reading,Water
Electrical Service - Packaging Facility (Semi-Annual),Electricity
Heating Service - Drying Ovens Gas Meter Reading,Heating
Natural Gas Supply - Boiler Room Q4,Heating
Water Supply - Laboratory Annual Fee,Water
Gas Consumption - Office Building 2 Gas Meter Reading,Heating
Water Charges - Admin Block Q3,Water
Propane Purchase - Drying Ovens Gas Meter Reading,Heating
Natural Gas Supply - Chemical Storage Winter Season,Heating
Utility Water Bill - Laboratory Q3,Water
Natural Gas Supply - Warehouse Q4,Heating
Municipal Water - Production Site July,Water
Natural Gas Supply - Drying Ovens Peak Demand,Heating
H2O Billing - Cooling Tower Annual Fee,Water
Gas Consumption - Manufacturing Area Gas Meter Reading,Heating
H2O Billing - Fire Sprinklers Q2,Water
Municipal Water - Cooling Tower April,Water
Hazardous Waste Pickup - Industrial Debris Monthly Fee,Waste Disposal
Grid Charge - Data Center (Year-End),Electricity
Chemical Waste Removal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Electrical Service - Main Plant (Year-End),Electricity
Power Consumption - Corporate Office (January),Electricity
Hazardous Waste Pickup - Industrial Debris Monthly Fee,Waste Disposal
H2O Billing - Cooling Tower April,Water
H2O Billing - Fire Sprinklers April,Water
Propane Purchase - Boiler Room Gas Meter Reading,Heating
Power Consumption - Packaging Facility (Q3),Electricity
Refuse Collection - Industrial Debris Q1,Waste Disposal
Fuel Oil Delivery - Office Building 2 February,Heating
Heating Service - Warehouse Monthly,Heating
Water Charges - Fire Sprinklers Monthly Invoice,Water
Fuel Oil Delivery - Boiler Room Peak Demand,Heating
Electricity Supply - Production Line 3 (Quarterly),Electricity
Power Consumption - R&D Lab (Q1),Electricity
Refuse Collection - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Propane Purchase - Drying Ovens Peak Demand,Heating
Waste Disposal - General Refuse Bi-Weekly Pickup,Waste Disposal
Municipal Water - Admin Block Monthly Invoice,Water
Water Charges - Irrigation System Q2,Water
Chemical Waste Removal - General Refuse Bi-Weekly Pickup,Waste Disposal
Natural Gas Supply - Boiler Room Monthly,Heating
Waste Disposal - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Refuse Collection - General Refuse Bi-Weekly Pickup,Waste Disposal
Municipal Water - Admin Block July,Water
Natural Gas Supply - Manufacturing Area Winter Season,Heating
Electrical Service - Production Line 3 (Q3),Electricity
Water Supply - Laboratory Annual Fee,Water
Electrical Service - Main Plant (Quarterly),Electricity
Waste Disposal - Recyclable Materials Q1,Waste Disposal
Electrical Service - North Warehouse (Monthly),Electricity
Electrical Service - Production Line 3 (Q3),Electricity
Propane Purchase - Office Building 2 October,Heating
H2O Billing - Irrigation System Monthly Invoice,Water
H2O Billing - Laboratory April,Water
Water Supply - Fire Sprinklers April,Water
Chemical Waste Removal - Pallet Disposal Weekly Service,Waste Disposal
Power Consumption - R&D Lab (Semi-Annual),Electricity
Chemical Waste Removal - General Refuse Container Emptying,Waste Disposal
Waste Disposal - Pallet Disposal Monthly Fee,Waste Disposal
Electrical Service - Packaging Facility (Q3),Electricity
Hazardous Waste Pickup - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Scrap Metal Hauling - Pallet Disposal Monthly Fee,Waste Disposal
Power Consumption - North Warehouse (Q3),Electricity
Propane Purchase - Boiler Room October,Heating
Natural Gas Supply - Chemical Storage Peak Demand,Heating
Power Consumption - Corporate Office (Year-End),Electricity
Propane Purchase - Warehouse Q4,Heating
Fuel Oil Delivery - Drying Ovens February,Heating
Gas Consumption - Warehouse Q4,Heating
Natural Gas Supply - Warehouse October,Heating
Natural Gas Supply - Office Building 2 October,Heating
Heating Service - Drying Ovens February,Heating
Water Supply - Laboratory Q3,Water
Chemical Waste Removal - Recyclable Materials Weekly Service,Waste Disposal
Waste Disposal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - Recyclable Materials Weekly Service,Waste Disposal
Power Consumption - Production Line 3 (Monthly),Electricity
Scrap Metal Hauling - Industrial Debris Monthly Fee,Waste Disposal
H2O Billing - Laboratory Q2,Water
Water Supply - Cooling Tower Q3,Water
Electrical Service - Corporate Office (Semi-Annual),Electricity
Electricity Supply - Packaging Facility (Year-End),Electricity
Electrical Service - Production Line 3 (Year-End),Electricity
Hazardous Waste Pickup - Solvent Waste Weekly Service,Waste Disposal
Scrap Metal Hauling - Industrial Debris Container Emptying,Waste Disposal
Chemical Waste Removal - Industrial Debris Monthly Fee,Waste Disposal
Scrap Metal Hauling - Industrial Debris Q1,Waste Disposal
Natural Gas Supply - Chemical Storage October,Heating
H2O Billing - Irrigation System Monthly Invoice,Water
Kwh Usage - Production Line 3 (December),Electricity
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Kwh Usage - Main Plant (January),Electricity
Municipal Water - Admin Block Monthly Invoice,Water
Propane Purchase - Office Building 2 Gas Meter Reading,Heating
Hazardous Waste Pickup - Solvent Waste Container Emptying,Waste Disposal
Kwh Usage - North Warehouse (Semi-Annual),Electricity
Gas Consumption - Warehouse Winter Season,Heating
H2O Billing - Cooling Tower Q3,Water
Kwh Usage - R&D Lab (January),Electricity
Natural Gas Supply - Office Building 2 February,Heating
H2O Billing - Admin Block July,Water
Water Charges - Irrigation System Q2,Water
Fuel Oil Delivery - Manufacturing Area February,Heating
Utility Water Bill - Laboratory Annual Fee,Water
Refuse Collection - General Refuse Weekly Service,Waste Disposal
Propane Purchase - Drying Ovens Monthly,Heating
Water Supply - Production Site April,Water
Electricity Supply - Main Plant (Q1),Electricity
Heating Service - Chemical Storage Gas Meter Reading,Heating
Municipal Water - Laboratory Monthly Invoice,Water
Fuel Oil Delivery - Boiler Room October,Heating
Natural Gas Supply - Office Building 2 Q4,Heating
Grid Charge - North Warehouse (Semi-Annual),Electricity
Water Charges - Irrigation System Meter Reading,Water
Fuel Oil Delivery - Office Building 2 Q4,Heating
Electricity Supply - Data Center (Q1),Electricity
Electricity Supply - Production Line 3 (Q1),Electricity
Electricity Supply - Packaging Facility (January),Electricity
Hazardous Waste Pickup - Solvent Waste Container Emptying,Waste Disposal
Refuse Collection - Pallet Disposal Container Emptying,Waste Disposal
Gas Consumption - Drying Ovens February,Heating
Refuse Collection - Pallet Disposal Weekly Service,Waste Disposal
Power Consumption - Data Center (Quarterly),Electricity
Water Charges - Laboratory Annual Fee,Water
Waste Disposal - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Grid Charge - North Warehouse (Semi-Annual),Electricity
Natural Gas Supply - Boiler Room Winter Season,Heating
Water Supply - Fire Sprinklers Annual Fee,Water
H2O Billing - Admin Block Q3,Water
H2O Billing - Fire Sprinklers July,Water
Water Charges - Cooling Tower Q2,Water
Natural Gas Supply - Manufacturing Area October,Heating
Water Supply - Laboratory July,Water
Power Consumption - North Warehouse (Quarterly),Electricity
Waste Disposal - Recyclable Materials Weekly Service,Waste Disposal
Municipal Water - Admin Block Monthly Invoice,Water
H2O Billing - Admin Block Monthly Invoice,Water
Gas Consumption - Manufacturing Area Q4,Heating
Gas Consumption - Boiler Room October,Heating
Chemical Waste Removal - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Water Supply - Fire Sprinklers Q2,Water
Waste Disposal - Pallet Disposal Q1,Waste Disposal
Electricity Supply - Corporate Office (Year-End),Electricity
Utility Water Bill - Fire Sprinklers Monthly Invoice,Water
Waste Disposal - Recyclable Materials Q1,Waste Disposal
Hazardous Waste Pickup - Solvent Waste Weekly Service,Waste Disposal
Propane Purchase - Boiler Room October,Heating
Fuel Oil Delivery - Manufacturing Area February,Heating
Scrap Metal Hauling - Solvent Waste Monthly Fee,Waste Disposal
Grid Charge - Corporate Office (Year-End),Electricity
Municipal Water - Admin Block Q2,Water
Electrical Service - Main Plant (Q1),Electricity
Electricity Supply - Production Line 3 (Q3),Electricity
Refuse Collection - General Refuse Monthly Fee,Waste Disposal
Electrical Service - North Warehouse (Semi-Annual),Electricity
Waste Disposal - Recyclable Materials Q1,Waste Disposal
Propane Purchase - Manufacturing Area Monthly,Heating
Scrap Metal Hauling - General Refuse Bi-Weekly Pickup,Waste Disposal
Propane Purchase - Boiler Room Winter Season,Heating
Gas Consumption - Boiler Room February,Heating
Fuel Oil Delivery - Office Building 2 Q4,Heating
Electrical Service - Corporate Office (Q3),Electricity
Water Charges - Production Site July,Water
Water Supply - Irrigation System Q3,Water
Grid Charge - R&D Lab (January),Electricity
Power Consumption - Data Center (January),Electricity
Heating Service - Warehouse Q4,Heating
Waste Disposal - Pallet Disposal Monthly Fee,Waste Disposal
Heating Service - Warehouse Q4,Heating
Chemical Waste Removal - Pallet Disposal Monthly Fee,Waste Disposal
Gas Consumption - Drying Ovens February,Heating
Chemical Waste Removal - General Refuse Q1,Waste Disposal
Chemical Waste Removal - Recyclable Materials Container Emptying,Waste Disposal
Grid Charge - Corporate Office (Q3),Electricity
Municipal Water - Production Site April,Water
Gas Consumption - Drying Ovens October,Heating
Chemical Waste Removal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Power Consumption - Main Plant (December),Electricity
Gas Consumption - Boiler Room October,Heating
Heating Service - Chemical Storage Peak Demand,Heating
Municipal Water - Production Site April,Water
Water Charges - Laboratory July,Water
Gas Consumption - Boiler Room Gas Meter Reading,Heating
Heating Service - Manufacturing Area Q4,Heating
Chemical Waste Removal - Solvent Waste Weekly Service,Waste Disposal
Municipal Water - Production Site Q3,Water
H2O Billing - Cooling Tower April,Water
Water Supply - Cooling Tower Meter Reading,Water
Grid Charge - Corporate Office (Year-End),Electricity
H2O Billing - Admin Block July,Water
H2O Billing - Production Site July,Water
Fuel Oil Delivery - Manufacturing Area Gas Meter Reading,Heating
Electrical Service - North Warehouse (Q1),Electricity
Fuel Oil Delivery - Chemical Storage October,Heating
Refuse Collection - Recyclable Materials Monthly Fee,Waste Disposal
Gas Consumption - Warehouse Gas Meter Reading,Heating
Natural Gas Supply - Chemical Storage Winter Season,Heating
Kwh Usage - Packaging Facility (Q1),Electricity
Gas Consumption - Boiler Room Peak Demand,Heating
Municipal Water - Cooling Tower Q3,Water
Utility Water Bill - Admin Block July,Water
Heating Service - Manufacturing Area Monthly,Heating
Gas Consumption - Manufacturing Area Monthly,Heating
H2O Billing - Cooling Tower July,Water
Municipal Water - Production Site Meter Reading,Water
Gas Consumption - Chemical Storage Peak Demand,Heating
Municipal Water - Production Site Annual Fee,Water
Hazardous Waste Pickup - General Refuse Monthly Fee,Waste Disposal
Gas Consumption - Chemical Storage Peak Demand,Heating
Natural Gas Supply - Manufacturing Area Q4,Heating
Waste Disposal - Solvent Waste Weekly Service,Waste Disposal
Natural Gas Supply - Boiler Room Gas Meter Reading,Heating
Fuel Oil Delivery - Boiler Room Peak Demand,Heating
Hazardous Waste Pickup - Industrial Debris Monthly Fee,Waste Disposal
Kwh Usage - North Warehouse (Semi-Annual),Electricity
Electricity Supply - Main Plant (Quarterly),Electricity
Chemical Waste Removal - Pallet Disposal Monthly Fee,Waste Disposal
H2O Billing - Irrigation System Meter Reading,Water
H2O Billing - Irrigation System Q2,Water
Gas Consumption - Office Building 2 February,Heating
Natural Gas Supply - Boiler Room Winter Season,Heating
Gas Consumption - Chemical Storage Q4,Heating
Scrap Metal Hauling - Solvent Waste Q1,Waste Disposal
Refuse Collection - Recyclable Materials Weekly Service,Waste Disposal
Water Charges - Irrigation System Q2,Water
Scrap Metal Hauling - Pallet Disposal Q1,Waste Disposal
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Electrical Service - Packaging Facility (Monthly),Electricity
Kwh Usage - Data Center (December),Electricity
Power Consumption - Main Plant (Q3),Electricity
Scrap Metal Hauling - Recyclable Materials Monthly Fee,Waste Disposal
H2O Billing - Production Site Annual Fee,Water
Water Charges - Laboratory Q3,Water
Utility Water Bill - Fire Sprinklers Annual Fee,Water
Power Consumption - Data Center (Q3),Electricity
Hazardous Waste Pickup - General Refuse Container Emptying,Waste Disposal
Refuse Collection - Pallet Disposal Container Emptying,Waste Disposal
Electrical Service - Main Plant (Year-End),Electricity
Power Consumption - North Warehouse (Q3),Electricity
Scrap Metal Hauling - Solvent Waste Weekly Service,Waste Disposal
Power Consumption - North Warehouse (January),Electricity
Gas Consumption - Warehouse February,Heating
Municipal Water - Laboratory July,Water
Waste Disposal - Solvent Waste Monthly Fee,Waste Disposal
Water Charges - Irrigation System Meter Reading,Water
Electrical Service - Packaging Facility (Quarterly),Electricity
Propane Purchase - Boiler Room Monthly,Heating
Water Charges - Cooling Tower Annual Fee,Water
Propane Purchase - Chemical Storage Gas Meter Reading,Heating
Fuel Oil Delivery - Manufacturing Area Gas Meter Reading,Heating
Chemical Waste Removal - General Refuse Monthly Fee,Waste Disposal
Electricity Supply - Production Line 3 (Semi-Annual),Electricity
Gas Consumption - Manufacturing Area February,Heating
H2O Billing - Irrigation System Q2,Water
Electricity Supply - Production Line 3 (Semi-Annual),Electricity
Natural Gas Supply - Manufacturing Area February,Heating
Scrap Metal Hauling - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - Industrial Debris Q1,Waste Disposal
H2O Billing - Irrigation System Meter Reading,Water
Hazardous Waste Pickup - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Water Supply - Admin Block Monthly Invoice,Water
H2O Billing - Laboratory Q3,Water
Municipal Water - Fire Sprinklers July,Water
Grid Charge - Data Center (Monthly),Electricity
Power Consumption - Packaging Facility (January),Electricity
Propane Purchase - Office Building 2 February,Heating
Power Consumption - R&D Lab (Semi-Annual),Electricity
Grid Charge - R&D Lab (Quarterly),Electricity
Natural Gas Supply - Warehouse Monthly,Heating
Kwh Usage - Data Center (Semi-Annual),Electricity
Chemical Waste Removal - Solvent Waste Weekly Service,Waste Disposal
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Water Charges - Laboratory Q2,Water
Electrical Service - Data Center (Monthly),Electricity
Fuel Oil Delivery - Drying Ovens February,Heating
Fuel Oil Delivery - Manufacturing Area October,Heating
Grid Charge - R&D Lab (December),Electricity
Fuel Oil Delivery - Chemical Storage Q4,Heating
Electricity Supply - Packaging Facility (January),Electricity
Refuse Collection - Pallet Disposal Weekly Service,Waste Disposal
Power Consumption - R&D Lab (Q3),Electricity
Propane Purchase - Office Building 2 Q4,Heating
Water Supply - Fire Sprinklers April,Water
Hazardous Waste Pickup - Solvent Waste Container Emptying,Waste Disposal
Utility Water Bill - Fire Sprinklers Monthly Invoice,Water
Water Supply - Admin Block Annual Fee,Water
Electrical Service - Data Center (Quarterly),Electricity
Water Charges - Production Site Annual Fee,Water
Water Supply - Admin Block Meter Reading,Water
Utility Water Bill - Laboratory July,Water
Hazardous Waste Pickup - General Refuse Bi-Weekly Pickup,Waste Disposal
Fuel Oil Delivery - Drying Ovens Gas Meter Reading,Heating
H2O Billing - Cooling Tower Q2,Water
Power Consumption - Main Plant (Monthly),Electricity
Water Charges - Fire Sprinklers Q3,Water
Municipal Water - Cooling Tower Meter Reading,Water
Kwh Usage - Packaging Facility (December),Electricity
Municipal Water - Irrigation System July,Water
Natural Gas Supply - Drying Ovens Winter Season,Heating
Waste Disposal - General Refuse Container Emptying,Waste Disposal
Natural Gas Supply - Chemical Storage Q4,Heating
Refuse Collection - Pallet Disposal Container Emptying,Waste Disposal
Waste Disposal - General Refuse Monthly Fee,Waste Disposal
Heating Service - Drying Ovens Monthly,Heating
Kwh Usage - North Warehouse (Q3),Electricity
Fuel Oil Delivery - Boiler Room Monthly,Heating
Kwh Usage - Data Center (Q3),Electricity
Propane Purchase - Chemical Storage February,Heating
Natural Gas Supply - Manufacturing Area Monthly,Heating
Natural Gas Supply - Boiler Room Winter Season,Heating
Fuel Oil Delivery - Warehouse Gas Meter Reading,Heating
Electrical Service - R&D Lab (Year-End),Electricity
Propane Purchase - Warehouse October,Heating
Water Charges - Admin Block Q2,Water
Power Consumption - Production Line 3 (Quarterly),Electricity
Electrical Service - R&D Lab (Semi-Annual),Electricity
Refuse Collection - Industrial Debris Container Emptying,Waste Disposal
Power Consumption - Data Center (Q1),Electricity
Chemical Waste Removal - Solvent Waste Q1,Waste Disposal
Municipal Water - Irrigation System Q2,Water
Hazardous Waste Pickup - General Refuse Bi-Weekly Pickup,Waste Disposal
Power Consumption - North Warehouse (Q3),Electricity
Hazardous Waste Pickup - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Waste Disposal - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Irrigation System Q2,Water
Gas Consumption - Chemical Storage October,Heating
Fuel Oil Delivery - Boiler Room Q4,Heating
Utility Water Bill - Cooling Tower Meter Reading,Water
Electrical Service - North Warehouse (Year-End),Electricity
Water Supply - Laboratory Q2,Water
Waste Disposal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - Industrial Debris Weekly Service,Waste Disposal
Power Consumption - North Warehouse (December),Electricity
Electricity Supply - Packaging Facility (Q1),Electricity
Propane Purchase - Chemical Storage February,Heating
Fuel Oil Delivery - Manufacturing Area February,Heating
H2O Billing - Admin Block July,Water
Natural Gas Supply - Office Building 2 Q4,Heating
Water Supply - Admin Block Meter Reading,Water
Kwh Usage - North Warehouse (Monthly),Electricity
Propane Purchase - Drying Ovens Peak Demand,Heating
Waste Disposal - General Refuse Weekly Service,Waste Disposal
Water Charges - Cooling Tower Q2,Water
Fuel Oil Delivery - Chemical Storage Monthly,Heating
H2O Billing - Laboratory July,Water
Waste Disposal - Industrial Debris Container Emptying,Waste Disposal
Electricity Supply - North Warehouse (Quarterly),Electricity
Electricity Supply - R&D Lab (Q3),Electricity
Propane Purchase - Manufacturing Area February,Heating
Refuse Collection - Recyclable Materials Monthly Fee,Waste Disposal
Electricity Supply - Data Center (Semi-Annual),Electricity
Electrical Service - Packaging Facility (December),Electricity
Refuse Collection - Industrial Debris Container Emptying,Waste Disposal
Natural Gas Supply - Boiler Room Q4,Heating
Chemical Waste Removal - Pallet Disposal Monthly Fee,Waste Disposal
Scrap Metal Hauling - General Refuse Container Emptying,Waste Disposal
Municipal Water - Fire Sprinklers April,Water
Hazardous Waste Pickup - Pallet Disposal Q1,Waste Disposal
Gas Consumption - Chemical Storage October,Heating
Electrical Service - Data Center (January),Electricity
Water Supply - Admin Block Annual Fee,Water
Water Supply - Fire Sprinklers July,Water
Municipal Water - Fire Sprinklers Monthly Invoice,Water
Municipal Water - Fire Sprinklers Monthly Invoice,Water
Power Consumption - R&D Lab (December),Electricity
Power Consumption - Main Plant (Year-End),Electricity
Electrical Service - North Warehouse (December),Electricity
Electrical Service - R&D Lab (Quarterly),Electricity
Water Charges - Fire Sprinklers Q3,Water
Grid Charge - Main Plant (January),Electricity
Electrical Service - Main Plant (January),Electricity
Water Supply - Irrigation System Annual Fee,Water
Water Supply - Fire Sprinklers Meter Reading,Water
Gas Consumption - Manufacturing Area October,Heating
Water Supply - Production Site Monthly Invoice,Water
Propane Purchase - Manufacturing Area Peak Demand,Heating
Chemical Waste Removal - Pallet Disposal Q1,Waste Disposal
Power Consumption - Production Line 3 (January),Electricity
Refuse Collection - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Scrap Metal Hauling - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Grid Charge - North Warehouse (Year-End),Electricity
Municipal Water - Admin Block Q2,Water
Municipal Water - Laboratory Q3,Water
Fuel Oil Delivery - Office Building 2 Peak Demand,Heating
Refuse Collection - Pallet Disposal Monthly Fee,Waste Disposal
Water Charges - Cooling Tower Meter Reading,Water
Waste Disposal - Pallet Disposal Weekly Service,Waste Disposal
Hazardous Waste Pickup - Pallet Disposal Monthly Fee,Waste Disposal
Utility Water Bill - Admin Block July,Water
H2O Billing - Laboratory Annual Fee,Water
Natural Gas Supply - Warehouse Peak Demand,Heating
Electrical Service - North Warehouse (Q1),Electricity
Chemical Waste Removal - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Electrical Service - North Warehouse (January),Electricity
Waste Disposal - General Refuse Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Fire Sprinklers Monthly Invoice,Water
Water Supply - Production Site Q3,Water
Heating Service - Manufacturing Area Monthly,Heating
Power Consumption - Production Line 3 (Semi-Annual),Electricity
Hazardous Waste Pickup - Solvent Waste Weekly Service,Waste Disposal
Electricity Supply - Production Line 3 (January),Electricity
Kwh Usage - Main Plant (Q1),Electricity
Propane Purchase - Office Building 2 Winter Season,Heating
Scrap Metal Hauling - Recyclable Materials Monthly Fee,Waste Disposal
Scrap Metal Hauling - Recyclable Materials Container Emptying,Waste Disposal
Waste Disposal - Solvent Waste Container Emptying,Waste Disposal
Propane Purchase - Office Building 2 Monthly,Heating
Natural Gas Supply - Warehouse Gas Meter Reading,Heating
H2O Billing - Fire Sprinklers Q2,Water
Kwh Usage - Data Center (December),Electricity
Fuel Oil Delivery - Drying Ovens Gas Meter Reading,Heating
Kwh Usage - Main Plant (Semi-Annual),Electricity
Water Supply - Cooling Tower Monthly Invoice,Water
Water Charges - Production Site Annual Fee,Water
Scrap Metal Hauling - Solvent Waste Weekly Service,Waste Disposal
Water Charges - Production Site Monthly Invoice,Water
Grid Charge - Main Plant (January),Electricity
Chemical Waste Removal - Industrial Debris Monthly Fee,Waste Disposal
Gas Consumption - Office Building 2 Gas Meter Reading,Heating
Gas Consumption - Office Building 2 Winter Season,Heating
H2O Billing - Admin Block July,Water
Power Consumption - North Warehouse (Q3),Electricity
Heating Service - Office Building 2 Gas Meter Reading,Heating
Grid Charge - R&D Lab (Monthly),Electricity
H2O Billing - Fire Sprinklers April,Water
Scrap Metal Hauling - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Kwh Usage - Corporate Office (Year-End),Electricity
Electricity Supply - North Warehouse (January),Electricity
Gas Consumption - Office Building 2 Winter Season,Heating
Water Supply - Cooling Tower Annual Fee,Water
Scrap Metal Hauling - Industrial Debris Monthly Fee,Waste Disposal
Gas Consumption - Office Building 2 October,Heating
Electrical Service - North Warehouse (Monthly),Electricity
Municipal Water - Production Site April,Water
Waste Disposal - Pallet Disposal Weekly Service,Waste Disposal
Propane Purchase - Drying Ovens Peak Demand,Heating
Fuel Oil Delivery - Chemical Storage Peak Demand,Heating
Water Charges - Admin Block Meter Reading,Water
Chemical Waste Removal - Recyclable Materials Container Emptying,Waste Disposal
Propane Purchase - Warehouse Monthly,Heating
